component,layer,dim,selected_because,mean,mean_abs,mean_sq,var,constant_energy,constant_ratio,raw_energy_frac,centered_energy_frac,constant_energy_frac_of_raw
attn_delta,1,183,variable_rank_5,4165.90576171875,4165.90576171875,71835040.0,54480272.0,17354770.81552148,0.24159199765910172,0.0008208954978149733,0.005307970787156125,0.00019832178318648214
attn_delta,1,192,constant_rank_8;raw_rank_9,-10900.1337890625,10900.1337890625,123875064.0,5062141.0,118812916.61946201,0.9591350573951026,0.0014155832909558018,0.0004932004845435665,0.0013577355610184412
attn_delta,1,258,constant_rank_7;raw_rank_7,-11289.7685546875,11289.7685546875,129855912.0,2397042.0,127458874.01841068,0.9815407866713891,0.0014839294796168744,0.00023354194912217572,0.001456537308788012
attn_delta,1,321,variable_rank_3;raw_rank_10,7439.94384765625,7439.94384765625,118576776.0,63224008.0,55352764.456278086,0.4668094910615388,0.0013550370621887948,0.006159866226639345,0.000632544161369874
attn_delta,1,443,constant_rank_4;raw_rank_4,17704.09375,17704.09375,318533824.0,5098897.5,313434935.50878906,0.9839926309012291,0.0036400478377040936,0.0004967816419254185,0.003581780248428781
attn_delta,1,456,variable_rank_9,3898.091796875,3898.091796875,64621364.0,49426244.0,15195119.656864166,0.23514080663577708,0.0007384611572606153,0.004815560745931128,0.0001736423521874505
attn_delta,1,487,constant_rank_2;raw_rank_2,-43864.64453125,43864.64453125,1958305792.0,34198940.0,1924107039.8529205,0.9825365618144076,0.022378555200885046,0.0033319762880718567,0.021987748685451523
attn_delta,1,524,variable_rank_10,4507.7763671875,4507.7763671875,69462432.0,49142380.0,20320047.776574135,0.29253291587277186,0.0007937825007973647,0.004787904095840885,0.00023220750952703394
attn_delta,1,530,variable_rank_7,490.4327697753906,490.4327697753906,51350772.0,51110244.0,240524.3016695613,0.00468394714045509,0.000586811360362898,0.004979631564182015,2.748593393358357e-06
attn_delta,1,608,constant_rank_10,8235.90234375,8235.90234375,111855688.0,44025612.0,67830087.41578674,0.6064071360929517,0.0012782317749693787,0.004289381344914544,0.0007751288699221913
attn_delta,1,619,constant_rank_3;raw_rank_3,18281.939453125,18281.939453125,340808224.0,6578911.5,334229310.1677284,0.9806961412049975,0.003894588722995308,0.0006409782618795568,0.003819408132221998
attn_delta,1,640,variable_rank_6,-85.15941619873047,85.15941619873047,51574288.0,51567036.0,7252.126167308597,0.00014061514852727774,0.000589365591252024,0.005024136455637158,8.287373015077021e-08
