component,layer,tokens_seen,hidden_dim,constant_energy_fraction,centered_energy_fraction,raw_total_energy,centered_total_energy,constant_total_energy,raw_pr,centered_pr,constant_pr,raw_entropy_norm,centered_entropy_norm,raw_k90,centered_k90,constant_k90,raw_top1_frac,centered_top1_frac,constant_top1_frac,raw_top_dim,constant_top_dim,variable_top_dim,constant_top_dim_energy_frac_of_raw,variable_top_dim_energy_frac_of_centered
attn_delta,10,3276800,768,0.6375815869539061,0.3624184134414614,2290246164896.0,830027381472.0,1460218784329.489,3.3273538716990556,644.4936720569096,1.3757133543242277,0.5511992454472343,0.9904640152479256,514,640,48,0.5479364753722819,0.012079951558005605,0.8525316441237245,690,690,690,0.543558478588827,0.012079951558005605
attn_delta,11,3276800,768,0.8303093288501948,0.16969066892800352,16420970732800.0,2786485508096.0,13634485188219.86,1.6597566526937881,457.18966621804327,1.159744286063234,0.3015626370156812,0.9878293907469143,321,667,1,0.7761583474710181,0.030403637939566578,0.9285685527687713,690,690,690,0.7709991318408351,0.030403637939566578
block_total_delta,0,3276800,768,0.40401628382008514,0.5959837387557249,15778884177.5,9403958385.5,6374926148.22109,5.826769026882249,64.55990072629848,1.384479617297116,0.6535056779281716,0.9051090136079573,487,585,2,0.41231520852894604,0.11701908695138175,0.847920668335903,690,690,690,0.3425737573953144,0.11701908695138175
block_total_delta,1,3276800,768,0.1650073750872142,0.8349925737947138,2944814057432.0,2458897869162.0,485916037736.78314,1.0461264079797523,1.0389219930249418,1.0833211334496282,0.035316163564282056,0.032564216666574504,1,1,1,0.9776969351249042,0.9810888160971698,0.960532874115751,690,690,690,0.15849500824281762,0.9810888160971698
block_total_delta,2,3276800,768,0.046656033085316295,0.9533439713456762,319936774872.0,305009795536.0,14926980753.637423,3.053840805349917,2.911492135032544,11.203003458678294,0.5237996867662651,0.5109011018927789,472,475,212,0.5719761013944488,0.5858332200183716,0.2888273119957506,690,690,690,0.013475536624416713,0.5858332200183716
block_total_delta,3,3276800,768,0.06391077074852772,0.9360892352863355,532308806512.0,498288543624.0,34020266100.41083,4.116294439334008,3.9089821332293426,10.460683728741376,0.6000946059592792,0.5886966707494534,472,471,226,0.49242179160921123,0.5053772663214626,0.3026653881685705,690,690,690,0.019343578236755667,0.5053772663214626
block_total_delta,4,3276800,768,0.10262340111874292,0.897376591285687,711115814864.0,638138685952.0,72977123510.67,11.112915124898194,11.083043983611619,11.149744278706715,0.7839750442500374,0.7848703827629377,569,574,257,0.2987074308741456,0.29915036556545516,0.2948341751799594,690,690,690,0.030256885823006695,0.29915036556545516
block_total_delta,5,3276800,768,0.14973578593360443,0.8502642138677887,1284904001600.0,1092507890816.0,192396110528.80933,69.51301150103602,105.69001548077665,14.998466380474396,0.9282825136991876,0.947357922315398,619,630,258,0.11478898894262732,0.09086044121645463,0.25066558433406666,690,690,690,0.037533608276767674,0.09086044121645463
block_total_delta,6,3276800,768,0.03902687562125248,0.960973181881369,11949450985792.0,11483101935552.0,466349737364.75726,1.3760136711378068,1.3094412721532673,9.12059391007995,0.20877573521343828,0.18263269504513568,157,114,251,0.8524680115650389,0.8738779281681627,0.32528394488970297,690,690,690,0.012694816058800785,0.8738779281681627
block_total_delta,7,3276800,768,0.15768521971375798,0.8423147878722539,7376117530880.0,6213012873344.0,1163104713491.315,2.5488635975886913,2.5586317193574755,2.494776002734287,0.4704509876722029,0.4734916613177388,494,516,174,0.6262003626301957,0.6250151044914783,0.6325317378135167,690,690,690,0.09974090605304956,0.6250151044914783
block_total_delta,8,3276800,768,0.37003936631520934,0.6299606163110468,5568962934400.0,3508227322368.0,2060735515278.2646,4.3088954558015145,13.707563427437494,1.4058786807527839,0.6191016695798406,0.8157454926423828,557,616,35,0.4813377630369886,0.26873294340220816,0.8432794015771149,690,690,690,0.3120465753862645,0.26873294340220816
block_total_delta,9,3276800,768,0.3092437756951923,0.6907562431596532,4734723504384.0,3270539820288.0,1464183773368.4805,9.95323956642649,119.82378704183529,1.4437764762004255,0.77444879346052,0.955121908121462,604,642,54,0.31593704131591466,0.08483577495031609,0.8321467940110361,690,690,690,0.25733621651262223,0.08483577495031609
block_total_delta,10,3276800,768,0.3462058332888252,0.6537941828675199,9219328721408.0,6027543488000.0,3191785382358.6562,4.517244035582704,15.446875790148228,1.2907635219502427,0.6313984876623033,0.8302144154620983,585,640,9,0.47008212954512424,0.2529483467398253,0.8801295605280137,690,690,690,0.3047059879047285,0.2529483467398253
block_total_delta,11,3276800,768,0.9568802543005354,0.04311968617577308,1.5231207902867763e+17,6567649048496128.0,1.457444209140043e+17,1.0005418210982997,1.0090845089198939,1.0001594067799902,0.0006047775711480325,0.008280804189377976,1,1,1,0.9997291989303335,0.9954882905823768,0.9999203060410919,690,690,690,0.9568039967248693,0.9954882905823768
mix_delta,0,3276800,768,0.15605797681827926,0.8439420226018945,6255402.2579956055,5279196.8338012695,976205.42056729,411.8476857471518,511.56999554769413,73.49510267544885,0.9573384429381974,0.971060176462255,559,580,195,0.012220613225118944,0.0094201696305556,0.05626481650432565,420,420,423,0.00878057342971679,0.0094201696305556
mix_delta,1,3276800,768,0.7363710812183522,0.2636289315838821,80892046411.47632,21325483769.09131,59566563677.98394,1.4389730940519045,3.4841162196820674,1.1305895261578556,0.19858723627697858,0.5272250415143787,21,367,1,0.8326476302674458,0.5339879199601028,0.9395710856313112,690,690,690,0.6918729762078296,0.5339879199601028
