layer,component,rank,feature_index,total_pos_delta_energy,share_total_pos_delta_energy,token_topk_count,token_topk_frac,mean_before_energy,mean_after_energy,mean_energy_ratio,selected_tokens
1,block,14,684,15294056628224.0,0.0010061098369093342,13,0.00634765625,5003894784.0,12470717440.0,106.04164123535156,2048
1,block,15,537,15023524020224.0,0.0009883130204903837,7,0.00341796875,2370235392.0,9705704448.0,376.4821472167969,2048
1,block,16,570,14586909556736.0,0.0009595906143080038,271,0.13232421875,1843518976.0,8965927936.0,1982.136474609375,2048
1,block,17,495,13773578436608.0,0.0009060861412622353,435,0.21240234375,1366510848.0,8091826176.0,47.861419677734375,2048
1,block,18,730,13478606667776.0,0.0008866816101135309,8,0.00390625,2053918464.0,8634905600.0,197.6223907470703,2048
1,block,19,123,13326654373888.0,0.0008766855246184946,7,0.00341796875,1850592128.0,8357266432.0,48247.984375,2048
1,block,20,271,12668237774848.0,0.0008333720053095591,7,0.00341796875,1917718912.0,8102922752.0,11945.2236328125,2048
1,block,21,134,12148493254656.0,0.0007991809409532335,17,0.00830078125,1672936576.0,7604667392.0,92.82656860351562,2048
1,block,22,558,11878657949696.0,0.0007814299961735023,5,0.00244140625,1750816512.0,7550593024.0,599.214111328125,2048
1,block,23,680,11794672254976.0,0.0007759050503941386,5,0.00244140625,1698689024.0,7457601536.0,84265.9453125,2048
1,block,24,521,11484446851072.0,0.0007554970685150215,3,0.00146484375,2192298496.0,7799712768.0,9702.2353515625,2048
1,block,25,214,11111126532096.0,0.0007309384275755902,7,0.00341796875,1685529984.0,7110683136.0,804.1702880859375,2048
1,block,26,69,10665888579584.0,0.0007016487306248791,10,0.0048828125,1355067264.0,6562684416.0,578.5316162109375,2048
1,block,27,195,9942427762688.0,0.0006540563186055408,2,0.0009765625,1547517952.0,6401897984.0,2005.5501708984375,2048
1,block,28,207,9844450918400.0,0.0006476109739057195,28,0.013671875,1119253888.0,5925793280.0,1830125024837632.0,2048
1,block,29,583,9328896507904.0,0.000613695553264162,21,0.01025390625,1120122112.0,5674650112.0,4261.49462890625,2048
1,block,30,61,9306180157440.0,0.0006122011725242389,6,0.0029296875,1556869504.0,6100564992.0,4410.96728515625,2048
1,block,31,571,9131603787776.0,0.0006007167765212364,7,0.00341796875,1254932480.0,5712410112.0,2829.228515625,2048
1,block,32,504,8985366233088.0,0.0005910966315280732,37,0.01806640625,1132457984.0,5519237120.0,125545.2421875,2048
2,block,1,690,181310400233472.0,0.0639426066731944,887,0.43310546875,6258564792320.0,3904043483136.0,1.0037819147109985,2048
2,block,2,443,58674210930688.0,0.020692591194823275,961,0.46923828125,43887321088.0,72517042176.0,1.78355872631073,2048
2,block,3,236,36460119982080.0,0.012858363934278173,335,0.16357421875,16610415616.0,34407821312.0,1.6928000490602496e+16,2048
2,block,4,158,35452253896704.0,0.012502920536693348,293,0.14306640625,22952771584.0,40249966592.0,1.7860500167589888e+16,2048
2,block,5,104,34250646618112.0,0.012079150573736357,404,0.197265625,13756085248.0,30477557760.0,47.00905227661133,2048
2,block,6,551,33840814882816.0,0.01193461551442106,174,0.0849609375,10778560512.0,27300200448.0,178.20809936523438,2048
2,block,7,21,30718094737408.0,0.010833328077235084,44,0.021484375,11005972480.0,26000494592.0,2.5538000096067584e+16,2048
2,block,8,537,30565063458816.0,0.010779358647775418,44,0.021484375,9705704448.0,24626642944.0,1429.255126953125,2048
2,block,9,662,29284794105856.0,0.010327846988396523,151,0.07373046875,11073842176.0,25368686592.0,141.21044921875,2048
2,block,10,192,26701704724480.0,0.00941687073936534,231,0.11279296875,19438583808.0,32442540032.0,5.802064895629883,2048
2,block,11,684,24383829573632.0,0.00859942739967057,45,0.02197265625,12470717440.0,24371329024.0,1782.5452880859375,2048
2,block,12,258,23040169607168.0,0.008125559818839629,484,0.236328125,9675530240.0,20918056960.0,12.413168907165527,2048
2,block,13,708,22251143430144.0,0.007847294532196764,40,0.01953125,11591360512.0,22450176000.0,79.80240631103516,2048
2,block,14,131,21199488811008.0,0.00747640826433309,16,0.0078125,11188444160.0,21535805440.0,115.08550262451172,2048
2,block,15,730,21057186562048.0,0.007426222633932168,35,0.01708984375,8634905600.0,18914191360.0,1152000020447232.0,2048
2,block,16,521,20316787048448.0,0.007165106477229706,6,0.0029296875,7799712768.0,17716936704.0,810031234678784.0,2048
2,block,17,570,20138873061376.0,0.007102361681110149,176,0.0859375,8965927936.0,18793435136.0,18.450868606567383,2048
2,block,18,195,19745191493632.0,0.006963522289611779,26,0.0126953125,6401897984.0,16039870464.0,162.0098419189453,2048
2,block,19,69,19283966951424.0,0.006800862566548712,86,0.0419921875,6562684416.0,15972034560.0,544500015431680.0,2048
2,block,20,134,18989369524224.0,0.006696967106662639,33,0.01611328125,7604667392.0,16874130432.0,5307.7890625,2048
2,block,21,558,18151551008768.0,0.006401494261595075,16,0.0078125,7550593024.0,16410353664.0,136125003857920.0,2048
2,block,22,680,17888561856512.0,0.006308746068990745,12,0.005859375,7457601536.0,16186451968.0,95.232421875,2048
2,block,23,214,17319818428416.0,0.006108167738823929,26,0.0126953125,7110683136.0,15563790336.0,221.14437866210938,2048
2,block,24,268,17139932069888.0,0.006044727347900863,122,0.0595703125,5343002624.0,13707905024.0,9940499943129088.0,2048
2,block,25,408,16191887245312.0,0.00571038107075206,18,0.0087890625,4940370432.0,12844512256.0,599.4219360351562,2048
2,block,26,123,15640249237504.0,0.005515835296688187,9,0.00439453125,8357266432.0,15984373760.0,4.513199738270515e+16,2048
2,block,27,495,15456363610112.0,0.005450984486530362,233,0.11376953125,8091826176.0,15630000128.0,8.23912239074707,2048
2,block,28,61,15445296939008.0,0.005447081611699831,19,0.00927734375,6100564992.0,13639010304.0,6844500148224000.0,2048
2,block,29,147,15168045056000.0,0.00534930339223887,26,0.0126953125,5257987584.0,12662052864.0,851.258056640625,2048
2,block,30,271,14758187106304.0,0.005204759087910237,3,0.00146484375,8102922752.0,15299007488.0,731.8274536132812,2048
2,block,31,246,14319947350016.0,0.005050205392541432,5,0.00244140625,5346846208.0,12336999424.0,234.0359649658203,2048
2,block,32,207,13903264219136.0,0.004903254056540265,65,0.03173828125,5925793280.0,12695921664.0,927.9813842773438,2048
3,block,1,690,633366814654464.0,0.2633712102946574,1649,0.80517578125,3904043483136.0,2295127867392.0,1.741655707359314,2048
3,block,2,104,31651323183104.0,0.01316148415307994,279,0.13623046875,30477557760.0,45921705984.0,3.4444758892059326,2048
3,block,3,551,23624285159424.0,0.009823622631978323,97,0.04736328125,27300200448.0,38801457152.0,28.572145462036133,2048
3,block,4,236,22856029175808.0,0.009504160823213611,167,0.08154296875,34407821312.0,45522411520.0,24.138221740722656,2048
3,block,5,131,22286992146432.0,0.00926753969362223,40,0.01953125,21535805440.0,32396873728.0,1039.0616455078125,2048
3,block,6,708,19037939564544.0,0.007916494941980707,47,0.02294921875,22450176000.0,31729364992.0,273.0431823730469,2048
3,block,7,570,18726749470720.0,0.007787093606536809,302,0.1474609375,18793435136.0,27898290176.0,1.1250000038199296e+16,2048
3,block,8,629,17719380410368.0,0.007368202053490981,198,0.0966796875,11203512320.0,19838437376.0,109.3069076538086,2048
3,block,9,214,17660607725568.0,0.007343762766856604,65,0.03173828125,15563790336.0,24170018816.0,207.24159240722656,2048
3,block,10,537,16705274249216.0,0.006946509030032558,27,0.01318359375,24626642944.0,32757090304.0,205.23583984375,2048
3,block,11,662,16508210118656.0,0.006864564385364734,81,0.03955078125,25368686592.0,33406433280.0,19.803733825683594,2048
3,block,12,158,16079639281664.0,0.006686352932816252,75,0.03662109375,40249966592.0,47997493248.0,9.704322814941406,2048
3,block,13,558,14633003909120.0,0.00608480245668366,21,0.01025390625,16410353664.0,23534602240.0,8.158599616397312e+16,2048
3,block,14,722,14190161952768.0,0.005900656683152237,293,0.14306640625,9478663168.0,16385638400.0,1.824079997954949e+17,2048
3,block,15,394,13770589995008.0,0.005726187210227237,946,0.4619140625,3412067328.0,10029980672.0,81.29466247558594,2048
3,block,16,21,13459803602944.0,0.005596953744994834,18,0.0087890625,26000494592.0,32526243840.0,29.294321060180664,2048
3,block,17,684,13046620618752.0,0.005425140981676672,23,0.01123046875,24371329024.0,30714593280.0,212695320100864.0,2048
3,block,18,61,12847093383168.0,0.0053421721107054735,19,0.00927734375,13639010304.0,19877615616.0,2.5021249387862426e+17,2048
3,block,19,134,12647293517824.0,0.005259089872838202,24,0.01171875,16874130432.0,23030482944.0,8.48719983327314e+16,2048
3,block,20,322,12215136550912.0,0.005079387209579825,224,0.109375,9047230464.0,14987859968.0,49.745399475097656,2048
3,block,21,195,12197158715392.0,0.0050719115348368034,17,0.00830078125,16039870464.0,21974540288.0,17.10897445678711,2048
3,block,22,680,12020296450048.0,0.0049983673771680495,9,0.00439453125,16186451968.0,22024022016.0,5.313800110604288e+16,2048
3,block,23,246,11863716790272.0,0.004933257280540665,7,0.00341796875,12336999424.0,18111764480.0,9969999926001664.0,2048
3,block,24,268,11127496900608.0,0.004627116954117675,45,0.02197265625,13707905024.0,19104649216.0,154.30380249023438,2048
3,block,25,408,11082086219776.0,0.004608233953470486,16,0.0078125,12844512256.0,18242744320.0,160.17135620117188,2048
3,block,26,147,10702293041152.0,0.004450305582735705,22,0.0107421875,12662052864.0,17867816960.0,1953124969349120.0,2048
3,block,27,495,10583968579584.0,0.004401103041760095,135,0.06591796875,15630000128.0,20752535552.0,21.364608764648438,2048
3,block,28,730,10561746108416.0,0.004391862331650508,7,0.00341796875,18914191360.0,24000065536.0,7.372800130862285e+16,2048
3,block,29,187,10145593556992.0,0.004218814741218189,166,0.0810546875,8329183744.0,13264057344.0,4.681799967965184e+16,2048
3,block,30,45,9983074762752.0,0.004151234990362488,138,0.0673828125,6583156736.0,11448206336.0,96.85577392578125,2048
3,block,31,421,9704164032512.0,0.004035256295413732,38,0.0185546875,9534689280.0,14259755008.0,43.21467590332031,2048
3,block,32,521,9086068326400.0,0.0037782352289003904,4,0.001953125,17716936704.0,22111680512.0,220499997097984.0,2048
4,block,1,690,78284494733312.0,0.05589032395339005,323,0.15771484375,2295127867392.0,972239011840.0,0.7485654950141907,2048
4,block,2,629,17921596194816.0,0.012794919613422303,316,0.154296875,19838437376.0,28523200512.0,3444499883753472.0,2048
4,block,3,495,16664982716416.0,0.011897774723732078,269,0.13134765625,20752535552.0,28770678784.0,187.26193237304688,2048
4,block,4,570,13446020071424.0,0.00959963298269701,496,0.2421875,27898290176.0,34365554688.0,207.8756561279297,2048
4,block,5,662,10227212615680.0,0.007301602037259134,94,0.0458984375,33406433280.0,38155968512.0,749.3297119140625,2048
4,block,6,722,9325701496832.0,0.0066579784352719905,245,0.11962890625,16385638400.0,20708497408.0,6.609217643737793,2048
