component,layer,tokens_seen,hidden_dim,constant_energy_fraction,centered_energy_fraction,raw_total_energy,centered_total_energy,constant_total_energy,raw_pr,centered_pr,constant_pr,raw_entropy_norm,centered_entropy_norm,raw_k90,centered_k90,constant_k90,excluded_dims,raw_k90_no_excluded,centered_k90_no_excluded,constant_k90_no_excluded,raw_pr_no_excluded,centered_pr_no_excluded,constant_pr_no_excluded,raw_top1_frac_no_excluded,centered_top1_frac_no_excluded,constant_top1_frac_no_excluded,raw_energy_removed_frac,centered_energy_removed_frac,constant_energy_removed_frac,raw_k90_jump_no_excluded,centered_k90_jump_no_excluded,raw_top1_frac,centered_top1_frac,constant_top1_frac,raw_top_dim,constant_top_dim,variable_top_dim,constant_top_dim_energy_frac_of_raw,variable_top_dim_energy_frac_of_centered
block_total_delta,11,3276800,768,0.9568802543005354,0.04311968617577308,1.5231207902867763e+17,6567649048496128.0,1.457444209140043e+17,1.0005418210982997,1.0090845089198939,1.0001594067799902,0.0006047775711480325,0.008280804189377976,1,1,1,690,523,573,152,65.53810063052934,59.9191784543854,32.878341667925206,0.08206138877021443,0.11122505575782135,0.1244975931796579,0.9997291989303335,0.9954882905823768,0.9999203060410922,522,572,0.9997291989303335,0.9954882905823768,0.9999203060410919,690,690,690,0.9568039967248693,0.9954882905823768
mix_delta,0,3276800,768,0.15605797681827926,0.8439420226018945,6255402.2579956055,5279196.8338012695,976205.42056729,411.8476857471518,511.56999554769413,73.49510267544885,0.9573384429381974,0.971060176462255,559,580,195,690,559,580,195,411.8137897352006,511.56402338631835,73.46095513753045,0.012221120484113132,0.009420224699769646,0.056278005618668636,4.150675012548708e-05,5.845849308470395e-06,0.00023435646302656576,0,0,0.012220613225118944,0.0094201696305556,0.05626481650432565,420,420,423,0.00878057342971679,0.0094201696305556
mix_delta,1,3276800,768,0.7363710812183522,0.2636289315838821,80892046411.47632,21325483769.09131,59566563677.98394,1.4389730940519045,3.4841162196820674,1.1305895261578556,0.19858723627697858,0.5272250415143787,21,367,1,690,478,532,11,17.098697579109363,115.90082979141084,2.1474220433145077,0.23503192825855704,0.07605780198621011,0.6739416690182003,0.8326476302674458,0.5339879199601028,0.9395710856313113,457,165,0.8326476302674458,0.5339879199601028,0.9395710856313112,690,690,690,0.6918729762078296,0.5339879199601028
mix_delta,2,3276800,768,0.19279661500303455,0.8072033410415445,235505617633.0865,190100921387.4799,45404685893.85804,1.0981677494449922,1.091984415121297,1.1244608870613113,0.06684026952671446,0.06511926027590793,1,1,1,690,315,352,49,131.08113844664894,255.52556017408477,17.16854510872439,0.050726494526668754,0.01462808807038742,0.18678159075437178,0.9542492986903054,0.9569517924702765,0.9429344526406732,314,351,0.9542492986903054,0.9569517924702765,0.9429344526406732,690,690,690,0.18179457063886098,0.9569517924702765
mix_delta,3,3276800,768,0.3166070506109632,0.6833928740368559,329703902815.85406,225317297726.49475,104386580245.45122,1.0628556794171622,1.0820167720201992,1.0231839956517272,0.04625361059853329,0.05853252944290848,1,1,1,690,353,360,103,155.59033499939298,184.7745349264291,13.4607181763299,0.03174738181129866,0.02383155010600532,0.22424133802374513,0.9699771735932934,0.9613490556545464,0.9886008647183127,352,359,0.9699771735932934,0.9613490556545464,0.9886008647183129,690,690,690,0.3129980040099129,0.9613490556545464
mix_delta,4,3276800,768,0.5525395530582886,0.4474604878316215,433498422881.2699,193973415776.6916,239525024830.28986,1.2265390545851955,1.5482147239647734,1.034156688835147,0.13935712000758824,0.2606532181302012,1,158,1,690,487,490,218,368.25164881652364,422.90488828049627,37.10962720751156,0.01794829475386395,0.007553958236852354,0.13565487984222224,0.9029266965780971,0.8036255672656523,0.9833432668336782,486,332,0.9029266965780971,0.8036255672656523,0.9833432668336783,690,690,690,0.5433360491591581,0.8036255672656523
mix_delta,5,3276800,768,0.6436569775870521,0.3563430031229738,185459042482.6106,66087032154.56464,119372006750.54582,1.5354842262589168,3.7608152134073856,1.0660176525808758,0.2538693310629585,0.5578957131422811,133,336,1,690,447,449,229,365.2948066442794,387.41362181736577,78.79485855191696,0.012209888829529846,0.008752627056056644,0.06280426712440773,0.8069438173985627,0.5150658149149298,0.9685340490679487,314,113,0.8069438173985627,0.5150658149149298,0.9685340490679487,690,690,690,0.6234036987132254,0.5150658149149298
mix_delta,6,3276800,768,0.47049077700650466,0.5295091868852276,105399611314.375,55810062485.09375,49589545023.48387,4.127894302924076,30.634096074129776,1.3984890552468854,0.5984454215620171,0.8730279757678556,461,549,31,690,570,574,270,531.6737912442236,565.1615278775562,131.7239005642285,0.008252861427884586,0.008838136752774431,0.03969312817213422,0.491699410213402,0.17732979508208438,0.8455035371754649,109,25,0.491699410213402,0.17732979508208438,0.8455035371754649,690,690,690,0.3978016161674326,0.17732979508208438
mix_delta,7,3276800,768,0.12691992006369468,0.8730800860361709,2918850116504.0,2548389910844.0,370460223464.59357,1.3748552470955164,1.3294243368449192,1.7593495543819888,0.20102432036800014,0.1854809190249665,62,52,52,690,538,550,249,297.405775043819,394.5550835330766,64.08156723016856,0.02129892558525612,0.016161195015334157,0.07118232237923806,0.8528050467125069,0.8672719447849416,0.753287489774746,476,498,0.8528050467125069,0.8672719447849416,0.753287489774746,690,690,690,0.09560718798719199,0.8672719447849416
mix_delta,8,3276800,768,0.34639112000424116,0.6536088581767584,724070518729.6562,473258904986.34375,250811597944.8175,2.320514658862867,3.1330499611331226,1.4538547882261303,0.4216646724181576,0.5157394319609793,283,342,39,690,490,497,279,403.8490158687678,417.22229483384154,142.10296559522334,0.009920848505492859,0.007874937178061136,0.02757825785237347,0.6562364416792522,0.5645558787059901,0.8292293899827934,207,155,0.6562364416792522,0.5645558787059901,0.8292293899827933,690,690,690,0.28723769713657343,0.5645558787059901
mix_delta,9,3276800,768,0.6723896316275099,0.32761038567411843,309917171042.98376,101532083932.42365,208385092472.6318,1.3750952162446068,2.430006560280097,1.0944199379773993,0.18918015953983047,0.41307391244214375,33,182,1,690,321,331,144,126.80204155332245,190.15617011394045,14.80310844557311,0.0532865146864343,0.0357883533989239,0.24251867410409655,0.8526729702090269,0.640970864217802,0.9558212151382649,288,149,0.8526729702090269,0.640970864217802,0.9558212151382649,690,690,690,0.6426842747485767,0.640970864217802
mix_delta,10,3276800,768,0.3872279551556459,0.6127720195493395,357502350817.8617,219067437504.29755,138434904270.53693,13.714455363335308,90.45588090670239,2.7872197061329183,0.6800972584917976,0.8050556666102211,183,214,55,690,209,217,108,82.07985561936377,100.21363723006966,32.995887539543915,0.07931412538754681,0.06794952380880183,0.12174634278281571,0.25728418865380076,0.04398892197664454,0.5948149747652806,26,3,0.25728418865380076,0.0649604975076263,0.5948149747652808,690,690,629,0.23032898637431676,0.0649604975076263
mix_delta,11,3276800,768,0.4770396069734532,0.5229603890729283,16614241093056.0,8688589986176.0,7925651041193.63,6.5255134399865575,100.88586764297503,1.6633358299027206,0.6278708411497902,0.868103407961941,316,458,28,690,440,464,172,84.16776377113423,105.03375673995883,29.191653718034175,0.08525464437764502,0.07205170255677584,0.14736349484760386,0.3856956083348442,0.031264276134125024,0.7742451928956489,124,6,0.3856956083348442,0.06979905823210696,0.7742451928956489,690,690,629,0.36934562252002584,0.06979905823210696
